subj,month,sex,MOTedu,VMS,ctype,object,cgprompt,timediff,include_prompt,cgresponse,C1Obj,C1Prompt,Prod.Obj.Cong,Prod.Prompt.Cong,VMS.Obj.Cong,VMS.Prompt.Cong,VMS.Prod.Cong,VMSgroup,wordclass,Siblings
794,11,F,Masters Degree,p b,p b,[none],[none],NA,NA,None,none,none,FALSE,FALSE,FALSE,FALSE,TRUE,withVMS,[none],1
794,11,F,Masters Degree,p b,n,[none],[none],NA,NA,None,none,none,FALSE,FALSE,FALSE,FALSE,FALSE,withVMS,[none],1
794,11,F,Masters Degree,p b,p b,[none],bop,11022,FALSE,None,none,b,FALSE,TRUE,FALSE,TRUE,TRUE,withVMS,O,1
794,11,F,Masters Degree,p b,p b,[none],bop,12979,FALSE,None,none,b,FALSE,TRUE,FALSE,TRUE,TRUE,withVMS,O,1
794,11,F,Masters Degree,p b,p b,[unclear],[none],NA,NA,None,none,none,FALSE,FALSE,FALSE,FALSE,TRUE,withVMS,[none],1
794,11,F,Masters Degree,p b,t d,[none],[none],NA,NA,None,none,none,FALSE,FALSE,FALSE,FALSE,FALSE,withVMS,[none],1
794,11,F,Masters Degree,p b,t d,[unclear],[none],NA,NA,None,none,none,FALSE,FALSE,FALSE,FALSE,FALSE,withVMS,[none],1
794,11,F,Masters Degree,p b,p b,[none],[none],NA,NA,None,none,none,FALSE,FALSE,FALSE,FALSE,TRUE,withVMS,[none],1
794,11,F,Masters Degree,p b,t d,slide,slide,5321,TRUE,Repetition,s,s,FALSE,FALSE,FALSE,FALSE,FALSE,withVMS,N,1
794,11,F,Masters Degree,p b,k g,cup,camera,6417,TRUE,None,k,k,TRUE,TRUE,FALSE,FALSE,FALSE,withVMS,N,1
794,11,F,Masters Degree,p b,t d,cup,camera,4299,TRUE,None,k,k,FALSE,FALSE,FALSE,FALSE,FALSE,withVMS,N,1
794,11,F,Masters Degree,p b,p b,cup,[none],NA,NA,None,k,none,FALSE,FALSE,FALSE,FALSE,TRUE,withVMS,[none],1
794,11,F,Masters Degree,p b,k g,cup,[none],NA,NA,None,k,none,TRUE,FALSE,FALSE,FALSE,FALSE,withVMS,[none],1
794,11,F,Masters Degree,p b,p b,slide,[none],NA,NA,None,s,none,FALSE,FALSE,FALSE,FALSE,TRUE,withVMS,[none],1
794,11,F,Masters Degree,p b,t d,[none],teeter totter,2210,TRUE,None,none,t,FALSE,TRUE,FALSE,FALSE,FALSE,withVMS,O,1
794,11,F,Masters Degree,p b,p b,dog,bye,11701,FALSE,None,d,b,FALSE,TRUE,FALSE,TRUE,TRUE,withVMS,G,1
794,11,F,Masters Degree,p b,p b,dog,bye,11900,FALSE,Unavailable,d,b,FALSE,TRUE,FALSE,TRUE,TRUE,withVMS,G,1
794,11,F,Masters Degree,p b,p b,dog,bye,8499,TRUE,None,d,b,FALSE,TRUE,FALSE,TRUE,TRUE,withVMS,G,1
794,11,F,Masters Degree,p b,k g,[none],bye,10532,FALSE,None,none,b,FALSE,FALSE,FALSE,TRUE,FALSE,withVMS,G,1
794,11,F,Masters Degree,p b,p b,[unclear],bye,11565,FALSE,None,none,b,FALSE,TRUE,FALSE,TRUE,TRUE,withVMS,G,1
794,11,F,Masters Degree,p b,p b,[unclear],[imitation],4106,TRUE,None,none,none,FALSE,FALSE,FALSE,FALSE,TRUE,withVMS,[none],1
794,11,F,Masters Degree,p b,t d,[unclear],shoe,7290,TRUE,None,none,s,FALSE,FALSE,FALSE,FALSE,FALSE,withVMS,N,1
794,11,F,Masters Degree,p b,p b,[unclear],shoe,6020,TRUE,None,none,s,FALSE,FALSE,FALSE,FALSE,TRUE,withVMS,N,1
794,11,F,Masters Degree,p b,p b,[unclear],shoe,4941,TRUE,None,none,s,FALSE,FALSE,FALSE,FALSE,TRUE,withVMS,N,1
794,11,F,Masters Degree,p b,p b,[unclear],[unclear],4201,TRUE,None,none,none,FALSE,FALSE,FALSE,FALSE,TRUE,withVMS,[none],1
794,11,F,Masters Degree,p b,p b,[unclear],spider,5001,TRUE,None,none,s,FALSE,FALSE,FALSE,FALSE,TRUE,withVMS,N,1
794,11,F,Masters Degree,p b,p b,[unclear],spider,8691,TRUE,None,none,s,FALSE,FALSE,FALSE,FALSE,TRUE,withVMS,N,1
794,11,F,Masters Degree,p b,p b,[unclear],spider,10928,FALSE,None,none,s,FALSE,FALSE,FALSE,FALSE,TRUE,withVMS,N,1
794,11,F,Masters Degree,p b,p b,[out of view],[none],NA,NA,Unavailable,none,none,FALSE,FALSE,FALSE,FALSE,TRUE,withVMS,[none],1
794,11,F,Masters Degree,p b,p b,[out of view],[none],NA,NA,Unavailable,none,none,FALSE,FALSE,FALSE,FALSE,TRUE,withVMS,[none],1
794,11,F,Masters Degree,p b,p b,[out of view],shoe,2599,TRUE,Unavailable,none,s,FALSE,FALSE,FALSE,FALSE,TRUE,withVMS,N,1
794,11,F,Masters Degree,p b,t d,[out of view],[none],NA,NA,Unavailable,none,none,FALSE,FALSE,FALSE,FALSE,FALSE,withVMS,[none],1
794,11,F,Masters Degree,p b,t d,[unclear],shoe,10799,FALSE,None,none,s,FALSE,FALSE,FALSE,FALSE,FALSE,withVMS,N,1
794,11,F,Masters Degree,p b,t d,[unclear],shoe,12438,FALSE,None,none,s,FALSE,FALSE,FALSE,FALSE,FALSE,withVMS,N,1
794,11,F,Masters Degree,p b,t d,[unclear],shoe,13994,FALSE,None,none,s,FALSE,FALSE,FALSE,FALSE,FALSE,withVMS,N,1
794,11,F,Masters Degree,p b,p b,[unclear],[none],NA,NA,None,none,none,FALSE,FALSE,FALSE,FALSE,TRUE,withVMS,[none],1
794,11,F,Masters Degree,p b,t d,[unclear],[none],NA,NA,None,none,none,FALSE,FALSE,FALSE,FALSE,FALSE,withVMS,[none],1
794,11,F,Masters Degree,p b,k g,[none],[none],NA,NA,None,none,none,FALSE,FALSE,FALSE,FALSE,FALSE,withVMS,[none],1
794,11,F,Masters Degree,p b,t d,[unclear],come,11581,FALSE,None,none,k,FALSE,FALSE,FALSE,FALSE,FALSE,withVMS,V,1
794,11,F,Masters Degree,p b,t d,[none],side,3901,TRUE,None,none,s,FALSE,FALSE,FALSE,FALSE,FALSE,withVMS,N,1
794,11,F,Masters Degree,p b,p b,[none],sandbox,5399,TRUE,Reformulation,none,s,FALSE,FALSE,FALSE,FALSE,TRUE,withVMS,N,1
794,11,F,Masters Degree,p b,m,[none],sandbox,13299,FALSE,None,none,s,FALSE,FALSE,FALSE,FALSE,FALSE,withVMS,N,1
794,11,F,Masters Degree,p b,p b,[none],sandbox,13267,FALSE,None,none,s,FALSE,FALSE,FALSE,FALSE,TRUE,withVMS,N,1
794,11,F,Masters Degree,p b,t d,sandbox,[none],NA,NA,None,s,none,FALSE,FALSE,FALSE,FALSE,FALSE,withVMS,[none],1
794,11,F,Masters Degree,p b,p b,sandbox,[none],NA,NA,None,s,none,FALSE,FALSE,FALSE,FALSE,TRUE,withVMS,[none],1
794,11,F,Masters Degree,p b,p b,sandbox,[none],NA,NA,None,s,none,FALSE,FALSE,FALSE,FALSE,TRUE,withVMS,[none],1
794,11,F,Masters Degree,p b,p b,sandbox,pack+it,1701,TRUE,None,s,p,FALSE,TRUE,FALSE,TRUE,TRUE,withVMS,V,1
794,11,F,Masters Degree,p b,p b,sandbox,[none],2601,TRUE,None,s,none,FALSE,FALSE,FALSE,FALSE,TRUE,withVMS,[none],1
794,11,F,Masters Degree,p b,p b,[none],[none],NA,NA,None,none,none,FALSE,FALSE,FALSE,FALSE,TRUE,withVMS,[none],1
794,11,F,Masters Degree,p b,p b,[none],[none],NA,NA,None,none,none,FALSE,FALSE,FALSE,FALSE,TRUE,withVMS,[none],1
794,11,F,Masters Degree,p b,p b,[unclear],[none],NA,NA,None,none,none,FALSE,FALSE,FALSE,FALSE,TRUE,withVMS,[none],1
794,11,F,Masters Degree,p b,p b,[unclear],[none],NA,NA,None,none,none,FALSE,FALSE,FALSE,FALSE,TRUE,withVMS,[none],1
794,11,F,Masters Degree,p b,p b,chair,[none],NA,NA,None,t,none,FALSE,FALSE,FALSE,FALSE,TRUE,withVMS,[none],1
794,11,F,Masters Degree,p b,t d,chair,[none],NA,NA,None,t,none,TRUE,FALSE,FALSE,FALSE,FALSE,withVMS,[none],1
794,11,F,Masters Degree,p b,t d,chair,[none],NA,NA,None,t,none,TRUE,FALSE,FALSE,FALSE,FALSE,withVMS,[none],1
794,11,F,Masters Degree,p b,t d,[unclear],cherry,7200,TRUE,None,none,t,FALSE,TRUE,FALSE,FALSE,FALSE,withVMS,N,1
794,11,F,Masters Degree,p b,p b,sandbox,cherry,8434,TRUE,None,s,t,FALSE,FALSE,FALSE,FALSE,TRUE,withVMS,N,1
794,11,F,Masters Degree,p b,p b,[none],[none],NA,NA,Response,none,none,FALSE,FALSE,FALSE,FALSE,TRUE,withVMS,[none],1
794,11,F,Masters Degree,p b,p b,[none],[none],NA,NA,Response,none,none,FALSE,FALSE,FALSE,FALSE,TRUE,withVMS,[none],1
794,11,F,Masters Degree,p b,p b,[none],[none],NA,NA,None,none,none,FALSE,FALSE,FALSE,FALSE,TRUE,withVMS,[none],1
794,11,F,Masters Degree,p b,p b,[none],[none],NA,NA,None,none,none,FALSE,FALSE,FALSE,FALSE,TRUE,withVMS,[none],1
794,11,F,Masters Degree,p b,t d,[none],[none],NA,NA,None,none,none,FALSE,FALSE,FALSE,FALSE,FALSE,withVMS,[none],1
794,11,F,Masters Degree,p b,p b,[none],[none],NA,NA,None,none,none,FALSE,FALSE,FALSE,FALSE,TRUE,withVMS,[none],1
794,11,F,Masters Degree,p b,p b,[out of view],[none],NA,NA,None,none,none,FALSE,FALSE,FALSE,FALSE,TRUE,withVMS,[none],1
794,11,F,Masters Degree,p b,t d,[out of view],[none],NA,NA,None,none,none,FALSE,FALSE,FALSE,FALSE,FALSE,withVMS,[none],1
794,11,F,Masters Degree,p b,p b,[out of view],[none],NA,NA,None,none,none,FALSE,FALSE,FALSE,FALSE,TRUE,withVMS,[none],1
794,11,F,Masters Degree,p b,p b,[out of view],[none],NA,NA,None,none,none,FALSE,FALSE,FALSE,FALSE,TRUE,withVMS,[none],1
794,11,F,Masters Degree,p b,t d,[out of view],[none],NA,NA,Repetition,none,none,FALSE,FALSE,FALSE,FALSE,FALSE,withVMS,[none],1
794,11,F,Masters Degree,p b,t d,[out of view],[none],NA,NA,None,none,none,FALSE,FALSE,FALSE,FALSE,FALSE,withVMS,[none],1
794,11,F,Masters Degree,p b,p b,[out of view],[none],NA,NA,None,none,none,FALSE,FALSE,FALSE,FALSE,TRUE,withVMS,[none],1
794,11,F,Masters Degree,p b,p b,[out of view],[none],NA,NA,None,none,none,FALSE,FALSE,FALSE,FALSE,TRUE,withVMS,[none],1
794,11,F,Masters Degree,p b,p b,[out of view],[none],NA,NA,None,none,none,FALSE,FALSE,FALSE,FALSE,TRUE,withVMS,[none],1
794,11,F,Masters Degree,p b,p b,[out of view],[none],NA,NA,None,none,none,FALSE,FALSE,FALSE,FALSE,TRUE,withVMS,[none],1
794,11,F,Masters Degree,p b,p b,[unclear],side,7499,TRUE,None,none,s,FALSE,FALSE,FALSE,FALSE,TRUE,withVMS,N,1
794,11,F,Masters Degree,p b,t d,[out of view],[none],NA,NA,None,none,none,FALSE,FALSE,FALSE,FALSE,FALSE,withVMS,[none],1
794,11,F,Masters Degree,p b,t d,dog,[none],NA,NA,None,d,none,TRUE,FALSE,FALSE,FALSE,FALSE,withVMS,[none],1
794,11,F,Masters Degree,p b,p b,[none],biscuit,3701,TRUE,None,none,b,FALSE,TRUE,FALSE,TRUE,TRUE,withVMS,N,1
794,11,F,Masters Degree,p b,p b,[none],[none],NA,NA,Unavailable,none,none,FALSE,FALSE,FALSE,FALSE,TRUE,withVMS,[none],1
794,11,F,Masters Degree,p b,p b,[none],[none],NA,NA,Unavailable,none,none,FALSE,FALSE,FALSE,FALSE,TRUE,withVMS,[none],1
794,11,F,Masters Degree,p b,p b,[none],[none],1801,TRUE,Reformulation,none,none,FALSE,FALSE,FALSE,FALSE,TRUE,withVMS,[none],1
794,11,F,Masters Degree,p b,t d,[none],shoe,6402,TRUE,None,none,s,FALSE,FALSE,FALSE,FALSE,FALSE,withVMS,N,1
794,11,F,Masters Degree,p b,t d,[none],shoe,9860,TRUE,None,none,s,FALSE,FALSE,FALSE,FALSE,FALSE,withVMS,N,1
794,11,F,Masters Degree,p b,p b,[none],[none],NA,NA,None,none,none,FALSE,FALSE,FALSE,FALSE,TRUE,withVMS,[none],1
794,11,F,Masters Degree,p b,p b,[none],[none],NA,NA,None,none,none,FALSE,FALSE,FALSE,FALSE,TRUE,withVMS,[none],1
794,11,F,Masters Degree,p b,p b,[none],chair,12277,FALSE,None,none,t,FALSE,FALSE,FALSE,FALSE,TRUE,withVMS,N,1
794,11,F,Masters Degree,p b,p b,[none],chair,8463,TRUE,None,none,t,FALSE,FALSE,FALSE,FALSE,TRUE,withVMS,N,1
794,11,F,Masters Degree,p b,t d,[unclear],down,5384,TRUE,None,none,d,FALSE,TRUE,FALSE,FALSE,FALSE,withVMS,D,1
794,11,F,Masters Degree,p b,t d,[unclear],down,7383,TRUE,None,none,d,FALSE,TRUE,FALSE,FALSE,FALSE,withVMS,D,1
794,11,F,Masters Degree,p b,p b,bin?,[none],NA,NA,None,b,none,TRUE,FALSE,TRUE,FALSE,TRUE,withVMS,[none],1
794,11,F,Masters Degree,p b,t d,[unclear],[none],NA,NA,None,none,none,FALSE,FALSE,FALSE,FALSE,FALSE,withVMS,[none],1
794,11,F,Masters Degree,p b,t d,[unclear],no,2401,TRUE,None,none,n,FALSE,FALSE,FALSE,FALSE,FALSE,withVMS,G,1
794,11,F,Masters Degree,p b,t d,[unclear],[none],NA,NA,None,none,none,FALSE,FALSE,FALSE,FALSE,FALSE,withVMS,[none],1
794,11,F,Masters Degree,p b,p b,[unclear],[none],NA,NA,None,none,none,FALSE,FALSE,FALSE,FALSE,TRUE,withVMS,[none],1
794,11,F,Masters Degree,p b,p b,[unclear],[none],NA,NA,None,none,none,FALSE,FALSE,FALSE,FALSE,TRUE,withVMS,[none],1
794,11,F,Masters Degree,p b,p b,[out of view],brick-sis,4600,TRUE,None,none,b,FALSE,TRUE,FALSE,TRUE,TRUE,withVMS,N,1
794,11,F,Masters Degree,p b,t d,table,[none],NA,NA,None,t,none,TRUE,FALSE,FALSE,FALSE,FALSE,withVMS,[none],1
794,11,F,Masters Degree,p b,p b,[unclear],baby,8101,TRUE,None,none,b,FALSE,TRUE,FALSE,TRUE,TRUE,withVMS,N,1
294,10,M,Masters Degree,p b k g,n,[none],no,12902,FALSE,Repetition,none,n,FALSE,TRUE,FALSE,FALSE,FALSE,withVMS,G,1
294,10,M,Masters Degree,p b k g,k g,spoon,[none],NA,NA,None,s,none,FALSE,FALSE,FALSE,FALSE,TRUE,withVMS,[none],1
294,10,M,Masters Degree,p b k g,k g,spoon,hungry,1800,TRUE,None,s,none,FALSE,FALSE,FALSE,FALSE,TRUE,withVMS,A,1
294,10,M,Masters Degree,p b k g,k g,[none],kiss,901,TRUE,Reformulation,none,k,FALSE,TRUE,FALSE,TRUE,TRUE,withVMS,V,1
294,10,M,Masters Degree,p b k g,p b,[none],[none],NA,NA,None,none,none,FALSE,FALSE,FALSE,FALSE,TRUE,withVMS,[none],1
294,10,M,Masters Degree,p b k g,m,[none],no,7601,TRUE,None,none,n,FALSE,FALSE,FALSE,FALSE,FALSE,withVMS,G,1
294,10,M,Masters Degree,p b k g,n,[none],[none],NA,NA,None,none,none,FALSE,FALSE,FALSE,FALSE,FALSE,withVMS,[none],1
294,10,M,Masters Degree,p b k g,n,[none],no,8418,TRUE,Question,none,n,FALSE,TRUE,FALSE,FALSE,FALSE,withVMS,G,1
294,10,M,Masters Degree,p b k g,n,[unclear],[none],NA,NA,None,none,none,FALSE,FALSE,FALSE,FALSE,FALSE,withVMS,[none],1
294,10,M,Masters Degree,p b k g,n,[unclear],[none],NA,NA,Unavailable,none,none,FALSE,FALSE,FALSE,FALSE,FALSE,withVMS,[none],1
294,10,M,Masters Degree,p b k g,n,mother,monkey,2399,TRUE,None,m,m,FALSE,FALSE,FALSE,FALSE,FALSE,withVMS,N,1
294,10,M,Masters Degree,p b k g,n,mother,[none],NA,NA,None,m,none,FALSE,FALSE,FALSE,FALSE,FALSE,withVMS,[none],1
294,10,M,Masters Degree,p b k g,n,mother,[none],NA,NA,None,m,none,FALSE,FALSE,FALSE,FALSE,FALSE,withVMS,[none],1
294,10,M,Masters Degree,p b k g,m,apple,more,7502,TRUE,Agreement,p,m,FALSE,TRUE,TRUE,FALSE,FALSE,withVMS,A,1
