subj,month,sex,Group,VMS,MOTedu
794,11,F,One,p b,Masters Degree
294,10,M,Multi,p b k g,Masters Degree
126,10,M,One,k g,Bachelors Degree
255,10,M,Nx,x,Some college
465,10,F,Nx,x,Masters Degree
357,11,M,Nx,x,Masters Degree
521,10,F,Multi,t d n,Masters Degree
274,10,M,Nx,x,Bachelors Degree
828,10,F,Nx,x,Doctorate
309,10,M,Nx,x,Masters Degree
749,10,M,Nx,x,Assoc Degree
623,10,M,Nx,x,Doctorate
279,11,F,One,t d,Bachelors Degree
626,10,M,One,p b,Bachelors Degree
664,10,M,Nx,x,Masters Degree
129,11,F,One,p b,Masters Degree
860,10,M,Multi,p b k g,Assoc Degree
378,10,F,One,p b,Bachelors Degree
109,10,F,One,p b,Assoc Degree
342,10,M,Multi,t d k g,Masters Degree
268,11,F,Multi,p b k g,Bachelors Degree
172,10,M,Nx,x,Assoc Degree
189,11,M,Nx,x,Bachelors Degree
986,10,F,Nx,x,Assoc Degree
861,11,M,One,t d,Doctorate
625,10,F,Nx,x,Masters Degree
926,11,F,Multi,t d k g,Bachelors Degree
944,10,M,Nx,x,Masters Degree
515,10,F,Multi,p b k g,Masters Degree
375,11,F,One,p b,Masters Degree
738,11,M,One,t d,Masters Degree
575,10,M,One,t d,Assoc Degree
639,11,F,Nx,x,Some college
168,11,F,Nx,x,Masters Degree
737,10,M,Multi,p b t d n,Bachelors Degree
518,11,F,One,p b,Doctorate
151,10,F,Nx,x,Some college
893,11,M,Multi,p b m,Masters Degree
424,10,M,One,p b,Masters Degree
351,10,F,Multi,p b t d k g,Masters Degree
950,11,F,Nx,x,High School
563,11,F,Multi,p b t d,Assoc Degree
288,11,M,Nx,x,Bachelors Degree
220,10,M,Nx,x,Bachelors Degree
