cgprompt,wordclass
[unclear],[none]
[none],[none]
bop,O
slide,N
camera,N
teeter totter,O
bye,G
[imitation],[none]
shoe,N
spider,N
[unavailable],[none]
come,V
side,N
sandbox,N
pack+it,V
cherry,N
biscuit,N
chair,N
down,D
no,G
brick-sis,N
baby,N
hungry,A
kiss,V
crying,V
monkey,N
more,A
brum,O
ground,N
machine,N
cracker,N
apple,N
know,V
tree,N
house,N
now,P
mammoth,N
dinosaur,N
tower,N
owl,N
breakfast,N
avocado,N
nice,A
rainforest,N
page,N
better,A
block,N
cow,N
dog,N
do,V
d,N
big,A
eight,N
three,N
back,N
grapes,N
song,N
pxx [name],N
jxx [name],N
ball,N
parking+lot,N
basket,N
toy,N
mess,N
good,A
bunny,N
button,N
gobble,O
towels,N
clean,A
break,V
yummy,O
slant,N
mummy,N
boom,O
thing,N
potato,N
hat,N
ring,N
boo,N
toes,N
up,D
nose,N
book,N
belly,N
munchkin,N
toot toot,O
boy,N
giraffe,N
head,N
shake,V
box,N
careful,A
bottom,N
gorilla,N
g,N
vulture,N
kick,V
cone,N
thunderstorm,N
feet,N
got it,V
ga (dragon's roar),O
dragon,N
crab,N
girl,N
bag,N
tissue,N
tired,A
sxx [name],N
straw,N
cheeks,N
hands,N
puffs,N
tapping,V
kitty,N
balloon,N
fan,N
bxx [name],N
cheese,N
green+beans,N
buddy,N
cake,N
oil,N
table,N
barf,V
kid,N
silly,A
couch,N
egg,N
play,N
godzilla,N
boogies,N
banana,N
plastic,N
lxx [name],N
b,N
q,N
hi,G
drool,N
did+it,V
minutes,N
hiya,G
recorder,N
sister,N
gentle,A
fxx [name],N
sissy,N
remote,N
train,N
too,P
tail,N
top,D
destruction piece,N
corner+piece,N
around,P
buzz lightyear,N
abi kadabi,N
triangle,N
peekaboo,G
fridge,N
potty,N
grandma,N
purse,N
binky,N
neptune,N
turn,V
dad,N
nap,N
blueberries,N
distract her,V
dxx [name],N
diaper,N
ducttape,N
vacuum,N
brother,N
dates,N
drum,N
god,N
milk,N
food,N
bottle,N
difficult,A
flowers,N
green,A
pacifier,N
door,N
nipple,N
bear,N
closet,N
puzzle,N
teeth,N
picked,V
baabaa black sheep,N
clip,V
keys,N
cat,N
moo,O
mush,N
cup,N
go,V
me,N
moustache,N
[media],[none]
microphone,N
pull the string,V
bill,N
rock,N
day,N
stuff,N
elephant,N
turtle,N
daiper,N
keep going,V
stinky,A
gxx [name],N
dress,N
tickle,V
close,P
two,N
monster,N
crash,O
nana,N
grazes on grass,N
purpose,N
hug,N
this,P
guess,V
glass jars,N
light,N
sneaky,A
dai,N
place,N
here,D
thank you,G
babe,N
phone,N
get+it,V
toothpaste,N
duck,N
got,V
brush,N
packet,N
drowsy,A
bed,N
dreams,N
buggy,N
blanket,N
kxx [name],N
handle,N
course,G
goat,N
dance,N
treats,N
oscar,N
gross,A
guys,N
guy,N
bert,N
heard,V
txx [name],N
apology,N
broke,V
sock,N
barney,N
cute,A
music,N
snack,N
bubba,N
pumpkin,N
truck,N
the end,N
fish,N
kado,N
spoon,N
ghost,N
napkin,N
yogurt,N
run,V
cookie,N
pillow,N
beso (spanish),V
mustard+chicken,N
touch,V
people,N
roar,O
teddy,N
sorry,G
done,V
number,N
bracelet,N
gone,V
cribby,N
goopy,A
pretty,A
dope,A
doughnuts,N
bank,N
bubbles,N
portobello mushroom,N
digger,N
hammer,N
magnet,N
burp,V
mouth,N
before,P
boop,O
goose,N
bless you,G
zoo-babies,N
supergirl,N
tummy,N
mac+and+cheese,N
pretzel,N
healthy,A
glasses,N
dinner,N
garage,N
barking,V
pool,N
quack,O
square,N
circle,N
football,N
peppa,N
bawk bawk bawk,O
hippo,N
body,N
choo+choo,O
tray,N
popcorn,N
gooey,A
last+one,F
nugget,N
go+away,F
jake,N
